oem,vin,model,reg_date,months,span_months,first_age_mo,current_age_mo,obs_per_month,soh_first,soh_last,soh_drop,vehicle_class,quality,reasons,dense_file
Bajaj,MD2B73301SWF36955,Bajaj GOGO P7012,2025-10-06,5,6.9,0.9,7.8,15660,98.5,95.5,3.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73301SWF36955.parquet
Bajaj,MD2B73302SWB22826,Bajaj GOGO P7012,2025-07-21,5,4.0,6.4,10.4,14990,95.0,93.0,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73302SWB22826.parquet
Bajaj,MD2B73304SWC26590,Bajaj GOGO P7012,2025-07-11,4,8.0,1.7,9.7,15493,98.0,95.5,2.5,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73304SWC26590.parquet
Bajaj,MD2B73305SWB20195,,,5,7.0,5.1,12.1,14514,98.0,94.0,4.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73305SWB20195.parquet
Bajaj,MD2B73308SWD29933,Bajaj GOGO P7012,2025-07-30,5,5.0,3.1,8.1,15660,98.0,96.0,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73308SWD29933.parquet
Bajaj,MD2B73308SWF37276,Bajaj GOGO P7012,2025-09-28,4,7.0,1.1,8.1,14327,98.5,96.5,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73308SWF37276.parquet
Bajaj,MD2B73309SWA55691,Bajaj GOGO 9.0,2025-05-09,5,9.0,3.8,12.8,14514,97.0,94.5,2.5,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73309SWA55691.parquet
Bajaj,MD2B73309SWE34898,Bajaj GOGO P7012,2025-09-28,4,7.0,1.1,8.1,14901,100.0,97.0,3.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B73309SWE34898.parquet
Bajaj,MD2B88301RWH05053,,,5,4.0,5.1,9.1,15874,94.0,92.0,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B88301RWH05053.parquet
Bajaj,MD2B88304SWE11507,Bajaj GOGO C9012,2025-08-18,5,6.9,2.5,9.4,14513,98.0,96.0,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B88304SWE11507.parquet
Bajaj,MD2B88309SWF12090,Bajaj GOGO C9012,2025-09-21,5,4.0,1.3,5.3,15660,99.5,97.0,2.5,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B88309SWF12090.parquet
Bajaj,MD2B94302RWA15785,,,5,3.9,5.1,9.0,15658,87.0,85.0,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B94302RWA15785.parquet
Bajaj,MD2B94302RWH68653,Bajaj RE E-TEC 9.0,2024-12-12,5,4.0,8.7,12.7,15873,89.0,87.0,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B94302RWH68653.parquet
Bajaj,MD2B94303SWE76029,Bajaj GOGO P-5009,2025-09-13,5,7.0,1.6,8.6,14513,99.0,96.0,3.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B94303SWE76029.parquet
Bajaj,MD2B94303SWF78298,Bajaj GOGO P-5009,2025-09-25,5,7.0,1.2,8.2,14513,99.0,97.0,2.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B94303SWF78298.parquet
Bajaj,MD2B94307SWD72594,Bajaj GOGO P-5009,2025-09-26,5,7.0,1.2,8.2,14513,100.0,96.0,4.0,degrader,thin,<6_valid_months,data/bajaj/dense/MD2B94307SWD72594.parquet
Bajaj,MD2B73300SWC25923,Bajaj GOGO P7012,2025-07-18,4,3.0,1.5,4.5,16172,98.0,97.0,1.0,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73300SWC25923.parquet
Bajaj,MD2B73300SWD29943,Bajaj GOGO P7012,2025-07-30,4,3.0,3.1,6.1,15325,96.5,96.0,0.5,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73300SWD29943.parquet
Bajaj,MD2B73300SWE31422,Bajaj GOGO P7012,,5,3.9,5.1,9.0,15660,98.5,97.0,1.5,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73300SWE31422.parquet
Bajaj,MD2B73300SWE32604,,,5,3.9,5.1,9.0,14990,96.5,95.0,1.5,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73300SWE32604.parquet
Bajaj,MD2B73302SWD27367,Bajaj GOGO P7012,2025-07-17,4,3.0,1.5,4.5,16172,99.0,98.0,1.0,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73302SWD27367.parquet
Bajaj,MD2B73303SWD26924,Bajaj GOGO P7012,2025-07-08,4,3.0,1.8,4.8,16175,98.0,97.0,1.0,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73303SWD26924.parquet
Bajaj,MD2B73304SWB20222,Bajaj GOGO P7012,2025-07-04,4,3.0,1.9,4.9,16175,97.5,97.0,0.5,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73304SWB20222.parquet
Bajaj,MD2B73306SWC24159,Bajaj GOGO P7012,2025-07-22,4,3.0,1.3,4.3,16175,99.0,98.0,1.0,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73306SWC24159.parquet
Bajaj,MD2B73307SWB21512,,,5,4.0,5.1,9.1,15875,97.0,96.0,1.0,flat,thin,<6_valid_months,data/bajaj/dense/MD2B73307SWB21512.parquet
